track_id,direction,start_time_s,end_time_s,confidence,notes
1,unknown,5.7,13.25,0.218,static/small movement: movement_norm=0.003
2,unknown,15.6,17.2,0.179,static/small movement: movement_norm=0.001
3,unknown,55.95,56.2,0.1,track too short: 0.25s < 1.00s
5,unknown,111.4,114.6,0.143,static/small movement: movement_norm=0.007
8,unknown,124.15,126.05,0.205,static/small movement: movement_norm=0.027
10,unknown,129.85,133.25,0.156,static/small movement: movement_norm=0.003
13,unknown,137.2,137.35,0.1,too few detections: 2 < 5
15,unknown,139.35,145.35,0.204,static/small movement: movement_norm=0.039
17,unknown,163.9,165.0,0.137,static/small movement: movement_norm=0.002
18,unknown,164.15,164.15,0.1,too few detections: 1 < 5
19,unknown,169.95,171.75,0.141,static/small movement: movement_norm=0.015
23,unknown,174.4,175.45,0.1,too few detections: 4 < 5
25,unknown,177.85,178.55,0.1,track too short: 0.70s < 1.00s
30,unknown,212.9,216.75,0.179,static/small movement: movement_norm=0.002
32,unknown,219.7,240.25,0.184,static/small movement: movement_norm=0.003
33,entry,261.55,283.7,0.958,dx=0.407; dy=0.402; projection=0.572; alignment=1.000; hits=431; mean_det_conf=0.789
36,unknown,261.95,269.1,0.211,static/small movement: movement_norm=0.012
37,entry,263.95,284.5,0.959,dx=0.435; dy=0.403; projection=0.592; alignment=0.999; hits=398; mean_det_conf=0.796
40,unknown,271.15,271.75,0.1,track too short: 0.60s < 1.00s
41,unknown,271.85,272.15,0.1,track too short: 0.30s < 1.00s
43,entry,272.8,275.15,0.527,dx=-0.012; dy=0.127; projection=0.081; alignment=0.636; hits=47; mean_det_conf=0.534
44,unknown,275.25,275.7,0.1,track too short: 0.45s < 1.00s
47,unknown,276.75,277.5,0.1,track too short: 0.75s < 1.00s
48,unknown,278.9,279.35,0.1,too few detections: 4 < 5
49,unknown,280.2,280.5,0.1,track too short: 0.30s < 1.00s
50,unknown,280.9,286.55,0.253,static/small movement: movement_norm=0.028
52,unknown,287.4,288.45,0.173,static/small movement: movement_norm=0.027
53,unknown,288.1,288.15,0.1,too few detections: 2 < 5
55,unknown,298.2,305.15,0.213,static/small movement: movement_norm=0.006
57,unknown,320.65,325.85,0.162,static/small movement: movement_norm=0.001
